,TIMESTAMP,DATE,TIME,QUERY,LOG
3,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(1,'AC/DC')","2022-12-13T14:47:23.543549Z	  256 Query	INSERT INTO Artist VALUES(1,'AC/DC')"
4,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(2,'Accept')","2022-12-13T14:47:23.555972Z	  256 Query	INSERT INTO Artist VALUES(2,'Accept')"
5,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(3,'Aerosmith')","2022-12-13T14:47:23.559736Z	  256 Query	INSERT INTO Artist VALUES(3,'Aerosmith')"
6,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(4,'Alanis Morissette')","2022-12-13T14:47:23.564200Z	  256 Query	INSERT INTO Artist VALUES(4,'Alanis Morissette')"
7,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(5,'Alice In Chains')","2022-12-13T14:47:23.568725Z	  256 Query	INSERT INTO Artist VALUES(5,'Alice In Chains')"
8,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(6,'Ant“nio Carlos Jobim')","2022-12-13T14:47:23.572856Z	  256 Query	INSERT INTO Artist VALUES(6,'Ant“nio Carlos Jobim')"
9,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(7,'Apocalyptica')","2022-12-13T14:47:23.577819Z	  256 Query	INSERT INTO Artist VALUES(7,'Apocalyptica')"
10,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(8,'Audioslave')","2022-12-13T14:47:23.581945Z	  256 Query	INSERT INTO Artist VALUES(8,'Audioslave')"
11,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(9,'BackBeat')","2022-12-13T14:47:23.585550Z	  256 Query	INSERT INTO Artist VALUES(9,'BackBeat')"
12,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(10,'Billy Cobham')","2022-12-13T14:47:23.589007Z	  256 Query	INSERT INTO Artist VALUES(10,'Billy Cobham')"
13,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(11,'Black Label Society')","2022-12-13T14:47:23.592584Z	  256 Query	INSERT INTO Artist VALUES(11,'Black Label Society')"
14,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(12,'Black Sabbath')","2022-12-13T14:47:23.596237Z	  256 Query	INSERT INTO Artist VALUES(12,'Black Sabbath')"
15,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(13,'Body Count')","2022-12-13T14:47:23.599349Z	  256 Query	INSERT INTO Artist VALUES(13,'Body Count')"
16,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(14,'Bruce Dickinson')","2022-12-13T14:47:23.603175Z	  256 Query	INSERT INTO Artist VALUES(14,'Bruce Dickinson')"
17,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(15,'Buddy Guy')","2022-12-13T14:47:23.606514Z	  256 Query	INSERT INTO Artist VALUES(15,'Buddy Guy')"
18,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(16,'Caetano Veloso')","2022-12-13T14:47:23.611067Z	  256 Query	INSERT INTO Artist VALUES(16,'Caetano Veloso')"
19,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(17,'Chico Buarque')","2022-12-13T14:47:23.614881Z	  256 Query	INSERT INTO Artist VALUES(17,'Chico Buarque')"
20,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(18,'Chico Science & Na‡Æo Zumbi')","2022-12-13T14:47:23.619686Z	  256 Query	INSERT INTO Artist VALUES(18,'Chico Science & Na‡Æo Zumbi')"
21,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(19,'Cidade Negra')","2022-12-13T14:47:23.624261Z	  256 Query	INSERT INTO Artist VALUES(19,'Cidade Negra')"
22,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(20,'Cl udio Zoli')","2022-12-13T14:47:23.628851Z	  256 Query	INSERT INTO Artist VALUES(20,'Cl udio Zoli')"
23,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(21,'Various Artists')","2022-12-13T14:47:23.633672Z	  256 Query	INSERT INTO Artist VALUES(21,'Various Artists')"
24,13/12/2022 14:47:23,13/12/2022,14:47:23,"INSERT INTO Artist VALUES(22,'Led Zeppelin')","2022-12-13T14:47:23.637960Z	  256 Query	INSERT INTO Artist VALUES(22,'Led Zeppelin')"
