,TIMESTAMP,DATE,TIME,QUERY,LOG
0,09/12/2022 13:30:16,09/12/2022,13:30:16,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 10 ORDER BY Runs DESC","2022-12-09T13:30:16.764837Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 10 ORDER BY Runs DESC"
1,09/12/2022 13:30:18,09/12/2022,13:30:18,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 20 ORDER BY Runs DESC","2022-12-09T13:30:18.266873Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 20 ORDER BY Runs DESC"
2,09/12/2022 13:30:19,09/12/2022,13:30:19,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 30 ORDER BY Runs DESC","2022-12-09T13:30:19.645472Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 30 ORDER BY Runs DESC"
3,09/12/2022 13:30:20,09/12/2022,13:30:20,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 40 ORDER BY Runs DESC","2022-12-09T13:30:20.963156Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 40 ORDER BY Runs DESC"
4,09/12/2022 13:30:22,09/12/2022,13:30:22,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 50 ORDER BY Runs DESC","2022-12-09T13:30:22.057607Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 50 ORDER BY Runs DESC"
5,09/12/2022 13:30:23,09/12/2022,13:30:23,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 60 ORDER BY Runs DESC","2022-12-09T13:30:23.147397Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 60 ORDER BY Runs DESC"
6,09/12/2022 13:30:24,09/12/2022,13:30:24,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 70 ORDER BY Runs DESC","2022-12-09T13:30:24.399012Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 70 ORDER BY Runs DESC"
7,09/12/2022 13:30:25,09/12/2022,13:30:25,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 80 ORDER BY Runs DESC","2022-12-09T13:30:25.582390Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 80 ORDER BY Runs DESC"
8,09/12/2022 13:30:26,09/12/2022,13:30:26,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 90 ORDER BY Runs DESC","2022-12-09T13:30:26.756435Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 90 ORDER BY Runs DESC"
9,09/12/2022 13:30:29,09/12/2022,13:30:29,"SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 100 ORDER BY Runs DESC","2022-12-09T13:30:29.461826Z	  242 Query	SELECT A.MatchTable_Id, C.Player_Name, SUM(B.Runs_Scored) AS 'Runs' FROM Ball_by_Ball A INNER JOIN Batsman_Scored B ON CONCAT(A.MatchTable_Id, A.Over_Id, A.Ball_Id, A.Innings_No) = CONCAT(B.MatchTable_Id, B.Over_Id, B.Ball_Id, B.Innings_No) INNER JOIN Player C ON A.Striker = C.Player_Id GROUP BY A.MatchTable_Id, C.Player_Name HAVING SUM(B.Runs_Scored) >= 100 ORDER BY Runs DESC"
